name	age	height_cm	weight_kgs	positions	nationality	overall_rating	potential	preferred_foot	international_reputation(1-5)	weak_foot(1-5)	skill_moves(1-5)
T. Naylor	27	187.96	72.1	CDM,CM,CB	England	66	68	Right	1	3	2
O. Beckles	27	190.5	78	LB,CB	England	66	67	Right	1	3	2
B. Eleke	23	190.5	88	ST,RM	Nigeria	66	75	Right	1	3	2
Y. Etienne	21	175.26	69.9	LB,LWB	France	66	75	Left	1	3	2
O. RodrÃ­guez	22	175.26	73	LB	Mexico	66	77	Left	1	2	3
C. Mac-Intosch	29	154.94	78	CB,RB	Netherlands	66	66	Right	1	3	2
R. Fennell	29	182.88	82.1	CB,CDM	United States	66	66	Right	1	5	2
C. Harriott	25	165.1	66.2	RM,LM	England	66	72	Left	1	3	3
A. Fukumori	26	182.88	74.8	CB,LB	Japan	66	69	Left	1	3	2
K. Hafez	22	175.26	73	LB	Egypt	66	73	Left	1	4	3
Yoon Seung Won	24	185.42	73.9	LW,RM	Korea Republic	66	71	Left	1	4	3
L. Crecco	23	182.88	76.2	CM,LM	Italy	66	74	Left	1	2	3
I. Alhassan	22	187.96	72.1	CDM,CM	Nigeria	66	70	Right	1	3	2
L. Nmecha	20	185.42	69.9	ST	England	66	83	Right	1	4	3
J. Ginnelly	21	172.72	64.9	LM	England	66	74	Right	1	4	3
F. Kaufmann	26	154.94	72.1	RM,RWB,RB	Germany	66	67	Right	1	3	3
D. Gomis	26	172.72	68	LM,RM,RW,CM	France	66	67	Right	1	3	3
L. Craig	32	182.88	82.1	CM,LM	Scotland	66	66	Left	1	3	3
R. Vanegas	25	175.26	72.1	LM,ST	Colombia	66	69	Right	1	2	3
A. Al Salem	26	182.88	73.9	CAM,ST	Saudi Arabia	66	68	Right	1	3	3
G. KuÅ›wik	31	154.94	74.8	ST	Poland	66	66	Right	1	2	3
A. Cook	28	185.42	72.1	ST	England	66	66	Right	1	4	2
O. KÃ¤uper	22	187.96	77.1	CM,CAM,LM	Germany	66	76	Left	1	4	2
M. DomÃ­nguez	19	160.02	58.1	LM	Mexico	66	75	Left	1	3	3
J. Eilers	30	187.96	77.1	RM,LM	Germany	66	66	Right	1	4	3
M. Lackner	27	193.04	74.8	CDM,CM,CB	Austria	66	69	Right	1	3	2
M. HÃ¸ibrÃ¥ten	24	182.88	77.1	CB	Norway	66	75	Left	1	2	2
A. Ajeti	25	182.88	77.1	CB	Albania	66	70	Right	2	1	2
R. Mulumba	26	154.94	76.2	CDM,CM	DR Congo	66	70	Right	1	3	2
S. DiakitÃ©	30	185.42	79.8	CM,CDM	Mali	66	66	Right	1	3	3
T. Mears	36	154.94	73.9	RB	England	66	66	Right	1	3	3
D. Gorter	30	175.26	69.9	CM	Netherlands	66	66	Left	1	4	3
M. Fetsch	30	187.96	82.1	ST	Germany	66	66	Right	1	3	2
D. Wotherspoon	29	154.94	76.2	LM,RM,CM	Canada	66	66	Right	1	4	3
R. Matondo	18	175.26	66.2	RM,LM	Wales	66	85	Right	1	3	3
O. Ba	23	193.04	83.9	CB	Senegal	66	75	Right	1	3	2
L. Lezzerini	23	195.58	86.2	GK	Italy	66	74	Right	1	2	1
Y. Nakano	26	175.26	66.2	LM,RM,LWB,CM	Japan	66	67	Right	1	4	3
AndrÃ©s Prieto	25	193.04	93	GK	Spain	66	70	Right	1	2	1
E. Lee	24	154.94	72.1	CAM,ST	England	66	71	Right	1	3	3
B. Galloway	22	185.42	73.9	LB	England	66	71	Left	1	3	2
Y. Thuram	30	187.96	84.8	GK	France	66	66	Right	2	2	1
C. DoucourÃ©	19	154.94	73	CDM	Mali	66	80	Right	1	3	3
Jordi QuintillÃ 	25	152.4	69.9	CM,CAM	Spain	66	71	Left	1	2	3
B. Blume	27	175.26	73	CAM,CM,RM	Denmark	66	67	Right	1	3	3
Milton Raphael	27	187.96	81.2	GK	Brazil	66	69	Right	1	2	1
Z. Mebarakou	30	187.96	79.8	CB	Algeria	66	66	Left	1	3	2
Domingos Quina	19	175.26	66.2	CAM,CM,CDM	Portugal	66	82	Right	1	3	3
C. TraorÃ©	27	154.94	73.9	LB	Mali	66	67	Left	1	2	2
D. Lowe	25	190.5	79.8	CB	Jamaica	66	72	Right	1	3	2
J. Schoop	30	175.26	68	CM,CDM	Denmark	66	66	Left	1	2	2
M. Atwa	28	182.88	78	CB	Egypt	66	67	Right	1	2	2
P. Neumann	21	193.04	82.1	CB,RB	Germany	66	75	Right	1	3	2
Imanol GarcÃ­a	23	182.88	74.8	CM	Spain	66	73	Right	1	3	3
A. SigurÃ°arson	25	152.4	69.9	LW,RW	Iceland	66	69	Right	1	3	3
K. Moriya	30	172.72	64.9	CDM,RM,LM	Japan	66	66	Right	1	3	3
T. Sekine	23	167.64	60.8	RM,LM	Japan	66	71	Right	1	3	2
M. Wostry	26	182.88	73.9	CB	Austria	66	70	Right	1	3	2
C. Wyke	26	185.42	73.9	ST	England	66	69	Right	1	3	2
J. Gatt	27	152.4	73	LM,RM,ST	United States	66	66	Right	1	3	4
C. Munder	19	165.1	57.2	LW,RW	Cuba	66	77	Right	1	3	3
A. Marin	29	187.96	78.9	CB	France	66	66	Right	1	3	2
C. Gunter	29	154.94	71.2	RB,LB,RWB	Wales	66	66	Right	1	4	2
M. van Bergen	19	170.18	62.1	RW	Netherlands	66	79	Right	1	3	3
G. Bijl	23	154.94	76.2	CDM,CM,RB	Netherlands	66	72	Right	1	2	3
A. Jug	27	193.04	88.9	GK	Slovenia	66	70	Right	1	3	1
N. Thompson	28	172.72	71.2	RB,CDM,CB	England	66	66	Right	1	2	2
A. Nakamura	28	175.26	67.1	RM,LM	Japan	66	66	Right	1	3	3
T. Umesaki	32	170.18	68	LW,RW,CF	Japan	66	66	Right	1	4	3
N. Antonitsch	27	185.42	81.2	CB,RB	Austria	66	69	Right	1	2	2
W. Keane	26	187.96	72.1	ST	England	66	69	Right	1	3	3
T. van de Pavert	27	193.04	84.8	CB	Netherlands	66	68	Left	1	3	2
K. Tokura	32	187.96	79.8	ST,RW,CF	Japan	66	66	Left	1	3	2
A. Buksa	22	190.5	78.9	ST	Poland	66	72	Right	1	4	3
O. BenÃ­tez	27	185.42	78.9	CB	Argentina	66	68	Left	1	2	2
J. Espinoza	27	170.18	77.1	RB,LB	Chile	66	66	Right	1	4	3
M. Å tÄ›ch	29	190.5	88.9	GK	Czech Republic	66	67	Right	1	2	1
J. Å»ubrowski	26	154.94	73	CDM	Poland	66	71	Right	1	2	2
I. Khalili	31	182.88	74.8	RM,CAM	Palestine	66	66	Left	1	3	3
A. Diawusie	21	154.94	76.2	RM,LM	Germany	66	77	Right	1	3	3
T. Hasegawa	25	165.1	58.1	CAM,LM,ST	Japan	66	71	Right	1	4	3
F. Concas	32	152.4	62.1	RM,CF	Italy	66	66	Right	1	3	3
O. Halvorsen	31	152.4	74.8	RM	Norway	66	66	Right	1	3	3
Isidoro	32	154.94	71.2	RB,LB	Spain	66	66	Right	1	3	2
C. Guerra	24	182.88	83	GK	Chile	66	71	Right	1	2	1
A. Le Tallec	34	182.88	73	ST	France	66	66	Right	2	3	2
T. Mohr	23	182.88	78	LM,LB	Germany	66	72	Left	1	3	3
R. Nagaki	30	172.72	72.1	CDM,CM,LM	Japan	66	66	Right	1	2	2
R. RamÃ­rez	22	187.96	73	GK	Argentina	66	76	Right	1	2	1
Bae Seul Gi	33	182.88	78.9	CB	Korea Republic	66	66	Right	1	3	2
J. Rossiter	21	152.4	64	CDM	England	66	78	Right	1	3	2
P. Carlgren	27	187.96	83.9	GK	Sweden	66	70	Right	1	2	1
Jony Ã‘Ã­guez	33	175.26	72.1	CDM,CM	Spain	66	66	Right	1	2	2
N. Vidrio	29	182.88	78	CB	Mexico	66	67	Right	1	3	2
T. Bergmann	22	154.94	74.8	CDM,CAM	Germany	66	75	Right	1	3	3
J. Walsh	26	154.94	69.9	CB	Wales	66	71	Left	1	3	2
N. Mohammed	24	172.72	69.9	RW	Ghana	66	72	Right	1	3	3
M. Marshall	31	170.18	68.9	RM,LM	Jamaica	66	66	Left	1	5	3
F. Ananou	21	182.88	78	RB,CB	Germany	66	76	Right	1	2	2
D. Mahmudov	29	170.18	62.1	LM,RM	FYR Macedonia	66	66	Right	1	4	3
Lim Jong Eun	28	193.04	88	CB	Korea Republic	66	67	Right	1	3	2
M. Torres	21	154.94	69.9	ST	Argentina	66	76	Right	1	3	3
S. Yamamoto	33	154.94	68.9	LB	Japan	66	66	Right	1	5	3
M. Rivero	29	175.26	72.1	CDM	Argentina	66	66	Right	1	4	3
Lim Sang Hyub	30	154.94	73	LW,RW	Korea Republic	66	66	Left	1	3	3
D. Templeton	30	175.26	63	LM,CM,ST	Scotland	66	66	Right	1	4	4
K. Shimizu	29	170.18	67.1	LM	Japan	66	66	Right	1	4	2
M. Woods	33	154.94	78	CM,CDM	Scotland	66	66	Left	1	4	3
Q. Moll	28	182.88	77.1	CDM,CM	Germany	66	67	Right	1	4	2
N. Hasler	27	175.26	78	RM,RWB,RB	Liechtenstein	66	66	Right	1	3	3
M. Bennett	22	152.4	64	ST,RW	England	66	77	Right	1	3	3
M. Sema	30	172.72	68	CF	Sweden	66	66	Right	1	4	3
J. Zavala	31	190.5	87.1	CDM,CM	Mexico	66	66	Right	1	3	2
A. Lienhart	33	182.88	78	RB,RM,RWB	Austria	66	66	Right	1	3	3
N. Saint-Ruf	26	187.96	84.8	CB	France	66	70	Right	1	2	2
F. Sakala	21	152.4	72.1	ST,CF,LW	Zambia	66	75	Right	1	2	3
Lee Yeong Jae	24	175.26	59.9	CM	Korea Republic	66	73	Left	1	3	2
R. Gaddis	29	175.26	68	LB,RB	United States	66	66	Right	1	4	2
Leandro	25	152.4	76.2	LM,RM,CAM,ST	Brazil	66	68	Right	1	4	2
Luis Marleiro	27	152.4	77.1	ST	Brazil	66	66	Left	1	2	2
Judson	25	170.18	64.9	CDM	Brazil	66	70	Right	1	2	2
T. Skarke	22	152.4	71.2	RM,LM	Germany	66	74	Right	1	3	2
I. Ssewankambo	23	152.4	79.8	RB,CM	Sweden	66	73	Right	1	3	2
P. Frick	26	182.88	81.2	ST	Sweden	66	67	Right	1	2	2
M. Fox	25	185.42	78	LB,LWB	Wales	66	69	Left	1	2	2
D. Starkl	25	175.26	69.9	LM,ST,RM	Austria	66	69	Right	1	4	2
T. Beltran	31	172.72	68	RB	United States	66	66	Right	1	3	2
N. Hansen	24	152.4	77.1	RM,LM	Denmark	66	71	Right	1	3	3
J. Grot	20	193.04	98	ST,LW,RW	Netherlands	66	75	Right	1	3	3
G. AlcalÃ¡	26	152.4	73.9	GK	Mexico	66	71	Right	1	2	1
F. Bonazzoli	21	182.88	77.1	ST	Italy	66	74	Left	1	3	3
Jin Jingdao	27	170.18	66.2	RM,LM	China PR	66	66	Right	1	3	3
A. Akinfenwa	36	152.4	110.2	ST	England	66	66	Right	1	3	2
L. Paz	30	175.26	69.9	CDM	Colombia	66	66	Right	1	3	2
C. Morris	23	185.42	84.8	ST,RW	England	66	74	Right	1	3	2
P. Bouby	35	182.88	78	CB,CDM	France	66	66	Left	1	3	2
E. Ä†iviÄ‡	22	182.88	76.2	LB,LM	Bosnia Herzegovina	66	73	Left	1	3	3
V. Retamal	21	170.18	62.1	RB	Chile	66	74	Right	1	2	3
D. Raum	20	154.94	74.8	LM	Germany	66	77	Left	1	3	3
M. Doyle	37	152.4	71.2	CDM,CM	Republic of Ireland	66	66	Left	1	3	2
M. Macey	24	198.12	81.2	GK	England	66	74	Right	1	2	1
F. Nimani	30	190.5	87.1	ST,CF,LW	France	66	66	Left	1	3	2
T. Walker	22	152.4	63	ST	England	66	76	Right	1	4	3
C. Washington	26	152.4	84.8	ST	Northern Ireland	66	69	Right	1	3	2
HÃ©ctor	23	154.94	73	ST,LM	Spain	66	73	Right	1	3	3
R. Grange	30	152.4	73.9	RW,RM	France	66	66	Right	1	4	3
A. Hainault	32	182.88	79.8	CB	Canada	66	66	Right	1	5	2
Yin Hongbo	29	154.94	74.8	RM,LM,CAM,CM	China PR	66	66	Left	1	3	3
S. MacLean	36	154.94	78.9	ST,CF	Scotland	66	66	Right	1	3	2
S. Diop	18	165.1	54.9	LM,CM,CAM	France	66	87	Right	1	3	4
V. Mykolenko	19	154.94	71.2	LB,CB	Ukraine	66	81	Left	1	2	2
Hu Rentian	28	175.26	68	RM	China PR	66	66	Right	1	3	3
M. Galmarini	37	154.94	77.1	RB,RM	Argentina	66	66	Right	1	3	3
F. Castillo	28	175.26	69.9	LB,RM	Colombia	66	66	Left	1	3	2
A. SanÃ©	26	182.88	73	ST	Senegal	66	69	Right	1	2	2
I. Lanni	28	185.42	76.2	GK	Italy	66	67	Right	1	2	1
J. O'Shea	37	190.5	83.9	CB	Republic of Ireland	66	66	Right	2	3	2
O. KantÃ©	29	185.42	83	CB	France	66	67	Right	1	3	2
R. Bushiri	19	187.96	91.2	CB	Belgium	66	80	Right	1	3	2
J. Moreno	22	187.96	78	CB	Colombia	66	77	Left	1	3	2
S. Svendsen	21	172.72	67.1	ST,LM	Norway	66	75	Right	1	4	3
J. Allen	24	154.94	72.1	CM,CDM	England	66	72	Right	1	3	2
H. Kadish	26	152.4	73	LB	Saudi Arabia	66	67	Left	1	3	2
J. ZelenÃ½	26	190.5	81.2	LB,LWB,LM	Czech Republic	66	69	Left	1	3	2
A. MatÄ›jÅ¯	22	182.88	78.9	RB,LB	Czech Republic	66	72	Right	1	3	3
G. Aburjania	24	185.42	78.9	CAM,CDM,CM	Georgia	66	73	Right	1	5	3
D. Phillips	23	187.96	76.2	GK	England	66	75	Right	1	3	1
J. Jacobson	32	154.94	78.9	LB	Wales	66	66	Left	1	3	2
J. Maja	20	154.94	67.1	ST	England	66	83	Right	1	3	2
E. Vandenabeele	27	182.88	77.1	CB	France	66	69	Right	1	2	2
G. GÃ³mez	23	190.5	98.9	GK	Argentina	66	75	Right	1	2	1
F. Stokkers	22	185.42	78.9	ST	Netherlands	66	71	Right	1	3	2
G. Kastaneer	22	185.42	84.8	LM,ST	Curacao	66	72	Right	1	3	3
E. Bakker	28	152.4	77.1	CM,CDM	Netherlands	66	66	Right	1	3	3
C. Schwegler	34	175.26	73.9	RB,LB	Switzerland	66	66	Right	1	3	2
M. Pellegrini	18	175.26	71.2	LM,RM	Argentina	66	83	Left	1	3	3
C. Schoppenhauer	27	185.42	77.1	CB	Germany	66	68	Right	1	2	2
T. Spurr	31	185.42	72.1	LB,CB	England	66	66	Left	1	3	2
J. Duma	25	175.26	73.9	RW,LW	Argentina	66	68	Right	1	4	3
J. Cousins	25	152.4	72.1	CDM,CM,RM	England	66	68	Right	1	3	3
B. Badiashile	17	193.04	77.1	CB	France	66	86	Left	1	3	2
Pardo	30	187.96	78	CB,CDM	Spain	66	66	Right	1	3	2
D. Arreola	33	154.94	73.9	CB,LB	Mexico	66	66	Left	1	3	3
Pipa	21	175.26	68	RM,RB	Spain	66	74	Right	1	3	3
Olabe	22	152.4	69.9	CM,RM,LM	Spain	66	77	Left	1	3	3
K. Dougall	25	182.88	78.9	CDM,CM	Australia	66	68	Right	1	4	3
D. Atanga	22	154.94	64.9	RM,LM	Ghana	66	75	Left	1	4	2
Varela	24	175.26	68	LM,LB,LWB	Spain	66	71	Left	1	3	3
D. Perkins	36	167.64	76.2	CM,CDM	England	66	66	Left	1	3	2
D. Kyereh	23	152.4	73	ST,RM	Ghana	66	72	Right	1	3	4
Y. Maruyama	29	182.88	76.2	CB	Japan	66	66	Left	1	3	2
V. Jacob	24	170.18	67.1	CAM	France	66	71	Right	1	2	3
Bruno Andrade	25	175.26	73.9	LM	Portugal	66	69	Right	1	4	4
L. Madrigal	26	190.5	89.8	ST	Mexico	66	69	Right	1	3	2
KauÃ£ Reisende	27	182.88	74.8	CAM,RW	Brazil	66	66	Right	1	3	3
Ricardo Alves	27	154.94	78	CB	Portugal	66	69	Right	1	3	2
Jang Yun Ho	22	152.4	68	CM,CDM	Korea Republic	66	73	Right	1	3	2
M. Pearson	25	190.5	72.1	CB	England	66	70	Right	1	3	2
C. Telo	29	172.72	72.1	LB	Sweden	66	66	Right	1	5	3
L. Guldan	36	182.88	82.1	CB	Slovakia	66	66	Right	1	3	2
M. Rubin	31	182.88	74.8	LB,LM	Italy	66	66	Left	1	3	2
Z. Al Sahafi	25	187.96	73	CB,CDM	Saudi Arabia	66	70	Right	1	2	2
Erik	24	170.18	66.2	ST	Brazil	66	71	Right	1	2	3
R. Teibert	26	172.72	66.2	CDM,CM	Canada	66	70	Left	1	3	3
L. Nicholls	26	190.5	84.8	GK	England	66	71	Right	1	3	1
Abdu ContÃ©	20	182.88	78	LB	Portugal	66	79	Left	1	2	2
A. Lithgow	30	185.42	84.8	CB	Scotland	66	66	Right	1	3	2
A. PavloviÄ‡	25	187.96	76.2	ST	Serbia	66	71	Left	1	3	3
G. Valverde	28	152.4	76.2	CB	Bolivia	66	66	Right	1	3	2
Daniel Fuzato	21	190.5	88	GK	Brazil	66	75	Right	1	3	1
N. Jambor	23	187.96	76.2	CM,CDM	Croatia	66	74	Left	1	4	2
E. AydoÄŸan	21	182.88	77.1	CM,CAM	Turkey	66	80	Left	1	4	2
Juan Cruz	26	154.94	69.9	LB,LM	Spain	66	67	Left	1	3	2
Ever Rodeiro	35	172.72	71.2	CAM,CM	Brazil	66	66	Right	1	3	3
Jean Carlos	22	185.42	79.8	LM,RM,CAM	Brazil	66	73	Right	1	3	3
R. Caballero	28	182.88	79.8	ST	Paraguay	66	66	Left	1	3	2
Gu Chao	29	193.04	86.2	GK	China PR	66	68	Right	1	1	1
H. McGahey	23	187.96	84.8	CB	England	66	73	Right	1	3	2
G. Evans	30	182.88	79.8	CAM,RM,RB	England	66	66	Right	1	4	3
K. Dawson	28	152.4	79.8	RM,CM	Republic of Ireland	66	66	Right	1	3	2
D. Schahin	29	187.96	89.8	ST	Germany	66	66	Right	1	3	2
M. Perlak	33	170.18	59.9	CAM	Austria	66	66	Right	1	3	3
J. Larsson	21	175.26	68.9	ST,CF	Sweden	66	73	Left	1	2	3
A. SuÅ¡ac	29	185.42	79.8	CB	Croatia	66	66	Right	1	3	2
S. McConville	30	154.94	73.9	LM	England	66	66	Right	1	3	3
C. Machado	28	172.72	69.9	CDM	Bolivia	66	67	Right	1	3	2
Gabriel	21	190.5	87.1	CB	Brazil	66	77	Left	1	2	2
J. Aribo	22	182.88	76.2	CM,CAM	England	66	77	Left	1	3	3
K. Grant	21	182.88	69.9	ST,LM	England	66	79	Right	1	3	3
L. RodrÃ­guez	25	167.64	71.2	LB	Argentina	66	71	Left	1	2	3
C. Dunne	26	187.96	86.2	CB,LB	Republic of Ireland	66	68	Left	1	2	2
M. Greenwood	17	185.42	73	CF,ST,RW,CAM	England	66	86	Left	1	5	3
J. Ãlvarez	23	175.26	71.2	RM,LM	Argentina	66	74	Right	1	3	3
R. Descamps	22	193.04	78.9	GK	France	66	74	Left	1	3	1
E. Assifuah	25	172.72	69.9	LM,ST	Ghana	66	69	Right	1	5	3
T. Lapslie	23	167.64	68.9	CDM,CM	England	66	74	Right	1	3	2
Pepelu	20	185.42	69.9	CM,CDM	Spain	66	80	Right	1	3	3
M. TÃ©vez	22	170.18	68.9	RW,ST	Argentina	66	74	Right	1	3	3
M. RÃ­os	34	172.72	68	RM,CM	Chile	66	66	Right	1	4	2
H. Ojamaa	27	175.26	74.8	LM,RM,ST,CF	Estonia	66	66	Right	1	3	3
G. Tansey	30	185.42	78	CDM,CM	England	66	66	Right	1	3	3
W. Harding	22	154.94	78.9	RB,CB	England	66	77	Right	1	3	2
F. CastillÃ³n	33	172.72	71.2	RM,ST,RW	Argentina	66	66	Right	1	3	2
H. Al Hazaa	27	175.26	64	ST,LM	Saudi Arabia	66	67	Right	1	3	2
Paulo OtÃ¡vio	24	175.26	68	LM,LB	Brazil	66	71	Left	1	3	2
R. Jansson	27	187.96	87.1	CB,LB	Sweden	66	69	Left	1	3	2
M. Sollbauer	28	187.96	86.2	CB	Austria	66	68	Right	1	3	2
C. Lines	33	187.96	78.9	CM,CDM	England	66	66	Right	1	4	3
H. Zapata	24	182.88	77.1	RM,CAM,LM	Colombia	66	71	Right	1	3	3
A. Youga	26	185.42	83	CDM	Central African Rep.	66	68	Right	1	3	2
I. Boonen	20	152.4	64	LW,RW,CAM,ST	Belgium	66	77	Left	1	4	3
Sim Sang Min	25	172.72	69.9	LB,RB	Korea Republic	66	70	Left	1	3	3
J. Dinenno	24	185.42	83.9	ST	Argentina	66	73	Right	1	3	2
B. Coker	29	154.94	73.9	LB	England	66	66	Left	1	3	3
M. Oxley	28	190.5	73	GK	England	66	68	Right	1	2	1
Y. Fofana	20	175.26	68.9	CM	France	66	81	Right	1	3	3
D. Rangelov	36	182.88	79.8	ST	Bulgaria	66	66	Right	1	2	3
M. Jansen	25	152.4	73.9	CDM,CM	Germany	66	69	Right	1	3	2
J. Hromada	22	154.94	76.2	CDM,CM	Slovakia	66	72	Right	1	3	2
P. Zulechner	28	182.88	79.8	ST	Austria	66	66	Right	1	3	2
J. Untersee	25	154.94	78.9	RM,RB	Switzerland	66	69	Right	1	3	3
Pablo	26	175.26	67.1	RW,CF,LW	Brazil	66	67	Right	1	3	3
He Guan	26	154.94	78.9	CB	China PR	66	70	Right	1	2	2
A. Capello	23	182.88	74.8	ST,CF	Italy	66	71	Right	1	3	2
B. Kopacz	26	187.96	84.8	CB,RB	Poland	66	69	Right	1	3	2
G. YalÃ§Ä±n	20	182.88	77.1	ST,LM,RM	Turkey	66	78	Right	1	2	3
Dilson Calegari	35	152.4	74.8	CAM,LM	Brazil	66	66	Left	1	3	2
J. Byrne	22	175.26	73	CM,RM	Republic of Ireland	66	74	Right	1	3	3
S. Nutz	27	152.4	67.1	CAM,CM	Austria	66	67	Left	1	3	3
S. Scappini	31	154.94	73.9	ST	Italy	66	66	Right	1	3	3
F. Canales	31	182.88	74.8	GK	Mexico	66	66	Right	1	3	1
Andoni LÃ³pez	22	187.96	76.2	LB,LWB	Spain	66	77	Left	1	3	2
L. Owusu	22	175.26	68	LB,RB	Netherlands	66	74	Right	1	3	3
D. Mast	27	185.42	78.9	LM,LWB	Germany	66	66	Left	1	3	3
P. EstupiÃ±Ã¡n	21	175.26	68.9	LB,LM	Ecuador	66	76	Left	1	3	2
A. Dreyer	20	172.72	69.9	RM,ST	Denmark	66	78	Left	1	3	3
J. DÃ¼ker	23	187.96	79.8	CF,RW	Germany	66	71	Left	1	3	3
B. Renneke	26	175.26	73	RB,RM	Germany	66	68	Right	1	3	3
Dong Xuesheng	29	185.42	82.1	ST	China PR	66	66	Right	1	4	2
R. Pillot	28	187.96	82.1	GK	France	66	68	Right	1	2	1
M. Gilks	36	185.42	81.2	GK	Scotland	66	66	Right	1	2	1
M. MariÄ‡	34	187.96	88.9	CB	Switzerland	66	66	Right	1	4	2
R. VodiÅ¡ek	20	187.96	83	GK	Slovenia	66	79	Right	1	3	1
M. LjujiÄ‡	25	185.42	74.8	CM,CAM	Serbia	66	69	Left	1	2	3
A. SigurÃ°sson	19	152.4	74.8	CF,CM	Iceland	66	82	Right	1	3	2
J. Blayac	35	187.96	79.8	ST	France	66	66	Right	1	3	3
R. Festersen	32	175.26	74.8	ST	Denmark	66	66	Right	1	3	3
S. Wannenwetsch	27	152.4	73	CDM,RM,LM,RB	Germany	66	68	Right	1	3	2
O. Bulut	24	152.4	68.9	RM,RW	Germany	66	69	Right	1	4	2
Manuel SÃ¡nchez	30	185.42	78	CDM,CM	Spain	66	66	Left	1	2	2
C. Ayala	32	152.4	73.9	CDM	Colombia	66	66	Right	1	3	3
B. Enobakhare	20	152.4	77.1	CAM,RW	Nigeria	66	80	Right	1	3	4
S. Sinovic	32	152.4	77.1	LB	United States	66	66	Left	1	2	2
Magno Novaes	35	182.88	84.8	GK	Brazil	66	66	Right	1	2	1
Paik Seung Ho	21	154.94	68	CM,RW,LW	Korea Republic	66	76	Right	1	5	3
D. Haas	35	187.96	88.9	GK	Germany	66	66	Right	1	3	1
FlÃ¡vio Triginho	35	172.72	66.2	ST	Brazil	66	66	Right	1	3	3
B. Emir	31	152.4	73	LB	Turkey	66	66	Left	1	2	2
Fu Huan	25	182.88	69.9	RB,LB	China PR	66	71	Right	1	3	2
B. Finne	24	172.72	69.9	LM,ST,LW	Norway	66	71	Right	1	3	3
N. PeÃ±ailillo	27	182.88	74.8	LB,LM	Chile	66	67	Left	1	2	3
V. Solomon-Otabor	23	175.26	77.1	LM,RM	Nigeria	66	75	Right	1	3	3
E. CastaÃ±eda	26	182.88	81.2	CB	Colombia	66	71	Right	1	2	2
P. Ofosu-Ayeh	27	154.94	81.2	RB,RWB	Ghana	66	67	Right	1	3	3
M. Ehmer	27	187.96	74.8	CB	Germany	66	68	Right	1	3	2
Jano	32	187.96	78	CDM,CM	Spain	66	66	Right	1	3	2
L. Page	22	152.4	72.1	LB,LWB	England	66	75	Left	1	3	2
FÃ¡binho	33	170.18	68	LB	Brazil	66	66	Left	1	2	3
M. Spano Rahou	24	182.88	78.9	CB	France	66	71	Right	1	3	2
W. Norris	25	190.5	81.2	GK	England	66	70	Left	1	3	1
S. Longstaff	21	154.94	64.9	CM,CAM	England	66	80	Right	1	4	2
H. SÃ¶nmez	28	154.94	74.8	ST,CF	Turkey	66	66	Right	1	2	3
S. Findlay	23	190.5	82.1	CB,LB	Scotland	66	75	Left	1	3	2
Liao Lisheng	25	154.94	69.9	CDM,CM	China PR	66	73	Right	1	3	2
Euller	24	175.26	73	LB,LM	Brazil	66	73	Left	1	2	3
P. Funk	29	152.4	77.1	CDM,RB	Germany	66	66	Right	1	3	2
E. IÃ±Ã­guez	22	152.4	69.9	RB	Argentina	66	76	Right	1	3	2
M. Ojeda	20	152.4	73.9	LM	Argentina	66	80	Left	1	3	3
Lorenzao Masca	35	172.72	67.1	ST	Brazil	66	66	Right	1	3	3
K. Heerings	29	190.5	81.2	CB	Netherlands	66	66	Left	1	2	2
L. RÃ¶ser	25	182.88	77.1	ST	Germany	66	70	Right	1	3	3
M. PuÄko	25	175.26	68	RM	Slovenia	66	69	Right	1	4	3
C. Schoissengeyr	24	195.58	92.1	CB	Austria	66	69	Right	1	4	2
H. El Sayed	27	170.18	68	LB	Egypt	66	67	Left	1	3	2
A. Arregui	26	175.26	73.9	CDM,CM	Argentina	66	69	Right	1	3	2
M. Blair	29	152.4	73.9	RM,CM,RB,RWB	England	66	66	Right	1	3	3
M. Damsgaard	18	154.94	64.9	CF,CM,LW	Denmark	66	80	Right	1	2	4
Tang Xin	28	152.4	73.9	LB	China PR	66	66	Left	1	2	2
Lee Myung Jae	25	154.94	74.8	LB	Korea Republic	66	70	Left	1	3	3
A. Taylor	28	193.04	76.2	CB	Wales	66	67	Right	1	2	2
L. Ravanelli	22	187.96	74.8	CB	Italy	66	75	Right	1	3	2
M. Edwards	20	167.64	78	RM	England	66	81	Left	1	3	4
K. Pearce	29	187.96	94.8	CB	England	66	66	Right	1	3	2
A. Boyle	28	152.4	77.1	CB	Republic of Ireland	66	68	Left	1	2	2
K. Chinen	23	152.4	71.2	ST,CF	Japan	66	69	Right	1	3	3
F. Troyansky	21	152.4	77.1	ST	Argentina	66	79	Left	1	3	3
A. Guira	30	185.42	74.8	CDM,CM	Burkina Faso	66	66	Right	1	3	2
Wang Zhuo	29	187.96	93	GK	China PR	66	67	Right	1	1	1
M. Okugawa	22	175.26	62.1	RM,LM	Japan	66	75	Left	1	4	3
E. QuiÃ±ones	30	175.26	78	LM,ST	Colombia	66	66	Left	1	3	3
A. Doukha	32	185.42	84.8	GK	Algeria	66	66	Right	1	2	1
N. Bertrams	26	185.42	81.2	GK	Netherlands	66	70	Right	1	2	1
P. Bengtsson	30	175.26	73.9	LB	Sweden	66	66	Left	1	2	2
